++average   	++position_x	++position_y	++radius    	
$$0.32874	$$172.00000	$$140.00000	$$8.00000	
$$0.32645	$$173.00000	$$140.00000	$$8.00000	
$$0.32908	$$173.00000	$$140.00000	$$8.00000	
$$0.32857	$$173.00000	$$140.00000	$$8.00000	
$$0.32951	$$173.00000	$$140.00000	$$8.00000	
$$0.33121	$$173.00000	$$142.00000	$$8.00000	
$$0.32985	$$173.00000	$$140.00000	$$8.00000	
$$0.32849	$$173.00000	$$140.00000	$$8.00000	
$$0.32067	$$173.00000	$$140.00000	$$8.00000	
$$0.28564	$$173.00000	$$140.00000	$$8.00000	
$$0.26167	$$173.00000	$$140.00000	$$8.00000	
$$0.25113	$$173.00000	$$140.00000	$$8.00000	
$$0.23769	$$173.00000	$$140.00000	$$8.00000	
$$0.23293	$$172.00000	$$142.00000	$$8.00000	
$$0.21517	$$172.00000	$$140.00000	$$8.00000	
$$0.21534	$$172.00000	$$142.00000	$$8.00000	
$$0.20309	$$172.00000	$$140.00000	$$8.00000	
$$0.19714	$$172.00000	$$140.00000	$$8.00000	
$$0.19459	$$172.00000	$$140.00000	$$8.00000	
$$0.19289	$$172.00000	$$140.00000	$$8.00000	
$$0.20709	$$173.00000	$$139.00000	$$8.00000	
$$0.18771	$$170.00000	$$142.00000	$$8.00000	
$$0.18439	$$172.00000	$$140.00000	$$8.00000	
$$0.18269	$$172.00000	$$140.00000	$$8.00000	
$$0.18337	$$172.00000	$$140.00000	$$8.00000	
$$0.18150	$$172.00000	$$140.00000	$$8.00000	
$$0.18218	$$172.00000	$$140.00000	$$8.00000	
$$0.18142	$$172.00000	$$140.00000	$$8.00000	
$$0.17189	$$170.00000	$$140.00000	$$8.00000	
$$0.17300	$$170.00000	$$140.00000	$$8.00000	
$$0.17181	$$170.00000	$$140.00000	$$8.00000	
$$0.16900	$$170.00000	$$140.00000	$$8.00000	
$$0.16764	$$170.00000	$$140.00000	$$8.00000	
$$0.17045	$$170.00000	$$140.00000	$$8.00000	
$$0.16943	$$170.00000	$$140.00000	$$8.00000	
$$0.17504	$$170.00000	$$140.00000	$$8.00000	
$$0.18601	$$170.00000	$$140.00000	$$8.00000	
$$0.20233	$$170.00000	$$140.00000	$$8.00000	
$$0.20437	$$170.00000	$$140.00000	$$8.00000	
$$0.21151	$$170.00000	$$140.00000	$$8.00000	
$$0.21967	$$170.00000	$$140.00000	$$8.00000	
$$0.22987	$$170.00000	$$140.00000	$$8.00000	
$$0.23387	$$170.00000	$$140.00000	$$8.00000	
$$0.24331	$$170.00000	$$140.00000	$$8.00000	
$$0.24535	$$170.00000	$$140.00000	$$8.00000	
$$0.25444	$$170.00000	$$140.00000	$$8.00000	
$$0.25810	$$170.00000	$$140.00000	$$8.00000	
$$0.26634	$$170.00000	$$140.00000	$$8.00000	
$$0.26898	$$170.00000	$$140.00000	$$8.00000	
$$0.28309	$$170.00000	$$140.00000	$$8.00000	
$$0.29788	$$170.00000	$$140.00000	$$8.00000	
$$0.29227	$$170.00000	$$140.00000	$$8.00000	
$$0.29771	$$170.00000	$$140.00000	$$8.00000	
$$0.32262	$$170.00000	$$140.00000	$$8.00000	
$$0.32526	$$170.00000	$$140.00000	$$8.00000	
$$0.33384	$$170.00000	$$140.00000	$$8.00000	
$$0.33529	$$170.00000	$$140.00000	$$8.00000	
$$0.35773	$$170.00000	$$140.00000	$$8.00000	
$$0.38086	$$170.00000	$$140.00000	$$8.00000	
$$0.38026	$$170.00000	$$140.00000	$$8.00000	
$$0.37830	$$170.00000	$$140.00000	$$8.00000	
$$0.37813	$$170.00000	$$139.00000	$$8.00000	
$$0.37941	$$170.00000	$$139.00000	$$8.00000	
$$0.37754	$$170.00000	$$139.00000	$$8.00000	
$$0.37082	$$170.00000	$$139.00000	$$8.00000	
$$0.36938	$$170.00000	$$139.00000	$$8.00000	
$$0.36096	$$170.00000	$$139.00000	$$8.00000	
$$0.35501	$$170.00000	$$139.00000	$$8.00000	
$$0.35365	$$170.00000	$$139.00000	$$8.00000	
$$0.35136	$$170.00000	$$139.00000	$$8.00000	
$$0.34694	$$170.00000	$$139.00000	$$8.00000	
$$0.34226	$$170.00000	$$139.00000	$$8.00000	
$$0.34183	$$170.00000	$$139.00000	$$8.00000	
$$0.34073	$$170.00000	$$139.00000	$$8.00000	
$$0.33452	$$170.00000	$$139.00000	$$8.00000	
$$0.27297	$$170.00000	$$139.00000	$$8.00000	
$$0.22979	$$170.00000	$$139.00000	$$8.00000	
$$0.19332	$$170.00000	$$139.00000	$$8.00000	
$$0.18329	$$170.00000	$$139.00000	$$8.00000	
$$0.17759	$$170.00000	$$139.00000	$$8.00000	
$$0.17343	$$170.00000	$$140.00000	$$8.00000	
$$0.17036	$$170.00000	$$139.00000	$$8.00000	
$$0.16713	$$170.00000	$$139.00000	$$8.00000	
