++flow      	++volume    	++position_x	++position_y	++radius    	++average   	
$$0.39497	$$-0.83000	$$190.00000	$$158.00000	$$8.00000	$$0.23724	
$$0.39687	$$-0.84000	$$188.00000	$$158.00000	$$8.00000	$$0.30437	
$$0.39508	$$-0.85000	$$188.00000	$$158.00000	$$8.00000	$$0.35540	
$$0.39845	$$-0.86000	$$188.00000	$$160.00000	$$8.00000	$$0.33103	
$$0.40554	$$-0.86000	$$188.00000	$$158.00000	$$8.00000	$$0.35816	
$$0.40449	$$-0.87000	$$188.00000	$$158.00000	$$8.00000	$$0.35770	
$$0.40378	$$-0.87000	$$188.00000	$$160.00000	$$8.00000	$$0.32598	
$$0.40603	$$-0.88000	$$188.00000	$$160.00000	$$8.00000	$$0.32736	
$$0.40763	$$-0.89000	$$188.00000	$$158.00000	$$8.00000	$$0.37517	
$$0.40941	$$-0.89000	$$190.00000	$$158.00000	$$8.00000	$$0.29103	
$$0.41030	$$-0.90000	$$190.00000	$$158.00000	$$8.00000	$$0.27678	
$$0.41074	$$-0.90000	$$188.00000	$$158.00000	$$8.00000	$$0.36092	
$$0.41112	$$-0.91000	$$190.00000	$$158.00000	$$8.00000	$$0.28092	
$$0.41182	$$-0.91000	$$188.00000	$$158.00000	$$8.00000	$$0.37839	
$$0.41266	$$-0.92000	$$190.00000	$$158.00000	$$8.00000	$$0.33333	
$$0.41308	$$-0.93000	$$188.00000	$$158.00000	$$8.00000	$$0.45333	
$$0.41356	$$-0.93000	$$188.00000	$$158.00000	$$8.00000	$$0.49379	
$$0.41379	$$-0.94000	$$190.00000	$$158.00000	$$8.00000	$$0.45977	
$$0.41391	$$-0.94000	$$190.00000	$$158.00000	$$8.00000	$$0.50161	
$$0.41397	$$-0.95000	$$188.00000	$$158.00000	$$8.00000	$$0.57701	
$$0.41400	$$-0.95000	$$190.00000	$$158.00000	$$8.00000	$$0.59816	
$$0.41402	$$-0.96000	$$188.00000	$$158.00000	$$8.00000	$$0.68092	
$$0.41476	$$-0.96000	$$188.00000	$$158.00000	$$8.00000	$$0.74483	
$$0.41754	$$-0.96000	$$188.00000	$$157.00000	$$8.00000	$$0.74391	
$$0.41966	$$-0.97000	$$188.00000	$$158.00000	$$8.00000	$$0.75770	
