++flow      	++volume    	++position_x	++position_y	++radius    	++average   	
$$0.04864	$$-0.91000	$$179.00000	$$139.00000	$$8.00000	$$0.10788	
$$0.02629	$$-0.98000	$$179.00000	$$139.00000	$$8.00000	$$0.10570	
$$0.00540	$$-1.07000	$$179.00000	$$139.00000	$$8.00000	$$0.10521	
$$0.00274	$$-1.15000	$$179.00000	$$139.00000	$$8.00000	$$0.10739	
$$0.01053	$$-1.23000	$$179.00000	$$139.00000	$$8.00000	$$0.11127	
$$0.01193	$$-1.39000	$$179.00000	$$139.00000	$$8.00000	$$0.11200	
$$0.01541	$$-1.47000	$$179.00000	$$139.00000	$$8.00000	$$0.11297	
$$0.03204	$$-1.55000	$$179.00000	$$139.00000	$$8.00000	$$0.11491	
$$0.03492	$$-1.63000	$$179.00000	$$139.00000	$$8.00000	$$0.11394	
$$0.03894	$$-1.70000	$$179.00000	$$139.00000	$$8.00000	$$0.11515	
$$0.04191	$$-1.78000	$$179.00000	$$139.00000	$$8.00000	$$0.12848	
$$0.05384	$$-1.92000	$$179.00000	$$139.00000	$$8.00000	$$0.13794	
$$0.07216	$$-1.99000	$$179.00000	$$139.00000	$$8.00000	$$0.15200	
$$0.08853	$$-2.05000	$$179.00000	$$139.00000	$$8.00000	$$0.15952	
$$0.10653	$$-2.11000	$$179.00000	$$139.00000	$$8.00000	$$0.17212	
$$0.13023	$$-2.22000	$$179.00000	$$139.00000	$$8.00000	$$0.23855	
$$0.15224	$$-2.27000	$$179.00000	$$139.00000	$$8.00000	$$0.28412	
$$0.18185	$$-2.31000	$$179.00000	$$139.00000	$$8.00000	$$0.31612	
$$0.22894	$$-2.34000	$$179.00000	$$139.00000	$$8.00000	$$0.40364	
$$0.29234	$$-2.36000	$$179.00000	$$139.00000	$$8.00000	$$0.45188	
$$0.41462	$$0.02000	$$179.00000	$$139.00000	$$8.00000	$$0.47758	
$$0.49352	$$0.04000	$$179.00000	$$139.00000	$$8.00000	$$0.54885	
