++flow      	++volume    	++position_x	++position_y	++radius    	++average   	
$$0.02948	$$-0.83000	$$182.00000	$$142.00000	$$8.00000	$$0.21398	
$$0.03074	$$-0.91000	$$182.00000	$$142.00000	$$8.00000	$$0.21051	
$$0.02064	$$-1.07000	$$182.00000	$$142.00000	$$8.00000	$$0.21167	
$$0.02288	$$-1.15000	$$182.00000	$$142.00000	$$8.00000	$$0.21831	
$$0.02534	$$-1.22000	$$182.00000	$$142.00000	$$8.00000	$$0.21773	
$$0.04155	$$-1.30000	$$182.00000	$$142.00000	$$8.00000	$$0.23650	
$$0.06703	$$-1.37000	$$182.00000	$$142.00000	$$8.00000	$$0.25209	
$$0.07230	$$-1.43000	$$182.00000	$$142.00000	$$8.00000	$$0.28097	
$$0.07493	$$-1.50000	$$182.00000	$$142.00000	$$8.00000	$$0.31042	
$$0.07625	$$-1.62000	$$182.00000	$$142.00000	$$8.00000	$$0.33872	
$$0.07690	$$-1.69000	$$182.00000	$$142.00000	$$8.00000	$$0.37020	
$$0.07978	$$-1.76000	$$182.00000	$$142.00000	$$8.00000	$$0.46116	
$$0.08716	$$-1.83000	$$182.00000	$$142.00000	$$8.00000	$$0.47618	
$$0.09663	$$-1.89000	$$182.00000	$$142.00000	$$6.00000	$$0.49552	
$$0.11668	$$-1.95000	$$184.00000	$$142.00000	$$8.00000	$$0.62720	
$$0.16421	$$-2.04000	$$184.00000	$$142.00000	$$8.00000	$$0.70315	
$$0.20450	$$-2.08000	$$184.00000	$$142.00000	$$8.00000	$$0.75888	
$$0.23702	$$-2.11000	$$185.00000	$$142.00000	$$8.00000	$$0.83396	
$$0.27244	$$-2.13000	$$185.00000	$$142.00000	$$8.00000	$$0.84724	
$$0.31716	$$-2.15000	$$176.00000	$$140.00000	$$6.00000	$$0.86515	
$$0.42256	$$0.00000	$$185.00000	$$142.00000	$$8.00000	$$0.85129	
$$0.57865	$$0.10000	$$185.00000	$$143.00000	$$8.00000	$$0.81201	
$$0.70732	$$0.17000	$$185.00000	$$142.00000	$$8.00000	$$0.80104	
$$0.79526	$$0.26000	$$185.00000	$$142.00000	$$8.00000	$$0.76783	
$$0.85086	$$0.36000	$$185.00000	$$142.00000	$$8.00000	$$0.73520	
$$0.87867	$$0.46000	$$185.00000	$$142.00000	$$8.00000	$$0.63933	
$$0.89257	$$0.56000	$$185.00000	$$142.00000	$$8.00000	$$0.36529	
$$0.89952	$$0.75000	$$185.00000	$$142.00000	$$8.00000	$$0.22813	
$$0.90299	$$0.84000	$$185.00000	$$142.00000	$$8.00000	$$0.17904	
$$0.90473	$$0.93000	$$185.00000	$$142.00000	$$8.00000	$$0.18423	
$$0.90386	$$1.02000	$$185.00000	$$142.00000	$$8.00000	$$0.18914	
$$0.90343	$$1.20000	$$185.00000	$$142.00000	$$8.00000	$$0.20676	
$$0.90321	$$1.29000	$$185.00000	$$142.00000	$$8.00000	$$0.21109	
$$0.90310	$$1.38000	$$185.00000	$$142.00000	$$8.00000	$$0.21802	
$$0.90305	$$1.56000	$$185.00000	$$142.00000	$$8.00000	$$0.23361	
$$0.90302	$$1.65000	$$185.00000	$$142.00000	$$8.00000	$$0.25787	
$$0.89674	$$1.74000	$$184.00000	$$140.00000	$$8.00000	$$0.23246	
$$0.88188	$$1.82000	$$185.00000	$$142.00000	$$8.00000	$$0.26307	
$$0.85906	$$1.90000	$$185.00000	$$142.00000	$$8.00000	$$0.26653	
$$0.83409	$$1.97000	$$185.00000	$$142.00000	$$8.00000	$$0.27115	
$$0.77925	$$2.09000	$$185.00000	$$142.00000	$$8.00000	$$0.27202	
$$0.72820	$$2.13000	$$184.00000	$$140.00000	$$8.00000	$$0.25902	
$$0.67276	$$2.17000	$$184.00000	$$140.00000	$$8.00000	$$0.27924	
$$0.53362	$$2.18000	$$184.00000	$$142.00000	$$8.00000	$$0.29974	
$$0.42274	$$2.15000	$$184.00000	$$140.00000	$$8.00000	$$0.34392	
$$0.34363	$$2.12000	$$185.00000	$$142.00000	$$8.00000	$$0.44383	
$$0.28711	$$2.08000	$$185.00000	$$142.00000	$$8.00000	$$0.57522	
$$0.24223	$$2.04000	$$185.00000	$$142.00000	$$8.00000	$$0.67081	
$$0.20119	$$1.98000	$$185.00000	$$142.00000	$$8.00000	$$0.73405	
$$0.16419	$$1.92000	$$187.00000	$$142.00000	$$8.00000	$$0.82356	
$$0.15273	$$1.86000	$$187.00000	$$142.00000	$$8.00000	$$0.84811	
$$0.15846	$$1.80000	$$187.00000	$$142.00000	$$8.00000	$$0.87958	
$$0.16132	$$1.68000	$$178.00000	$$140.00000	$$6.00000	$$0.84897	
$$0.16275	$$1.61000	$$187.00000	$$142.00000	$$8.00000	$$0.81346	
$$0.16347	$$1.55000	$$187.00000	$$142.00000	$$8.00000	$$0.76928	
$$0.16383	$$1.50000	$$187.00000	$$142.00000	$$8.00000	$$0.71152	
$$0.16401	$$1.44000	$$187.00000	$$142.00000	$$8.00000	$$0.58966	
$$0.16429	$$1.39000	$$187.00000	$$142.00000	$$8.00000	$$0.21946	
$$0.19121	$$1.30000	$$185.00000	$$142.00000	$$8.00000	$$0.15882	
$$0.21288	$$1.26000	$$185.00000	$$142.00000	$$8.00000	$$0.16315	
$$0.23214	$$1.23000	$$185.00000	$$142.00000	$$8.00000	$$0.17239	
$$0.25451	$$1.20000	$$185.00000	$$142.00000	$$8.00000	$$0.19405	
$$0.29529	$$1.18000	$$185.00000	$$142.00000	$$8.00000	$$0.21167	
$$0.40101	$$0.00000	$$185.00000	$$142.00000	$$8.00000	$$0.22524	
$$0.48027	$$0.02000	$$185.00000	$$142.00000	$$8.00000	$$0.23101	
$$0.54042	$$0.05000	$$185.00000	$$142.00000	$$8.00000	$$0.23881	
$$0.60745	$$0.10000	$$185.00000	$$142.00000	$$8.00000	$$0.25383	
$$0.64944	$$0.15000	$$185.00000	$$142.00000	$$8.00000	$$0.26682	
$$0.68723	$$0.20000	$$185.00000	$$142.00000	$$8.00000	$$0.29974	
$$0.72796	$$0.27000	$$187.00000	$$142.00000	$$8.00000	$$0.36327	
$$0.79994	$$0.42000	$$187.00000	$$142.00000	$$8.00000	$$0.49755	
$$0.84726	$$0.51000	$$187.00000	$$142.00000	$$8.00000	$$0.62229	
$$0.86286	$$0.60000	$$187.00000	$$142.00000	$$8.00000	$$0.72365	
$$0.85506	$$0.70000	$$187.00000	$$142.00000	$$8.00000	$$0.76465	
$$0.85116	$$0.80000	$$187.00000	$$142.00000	$$8.00000	$$0.84666	
$$0.84921	$$0.89000	$$187.00000	$$142.00000	$$8.00000	$$0.88132	
$$0.84823	$$1.08000	$$187.00000	$$142.00000	$$8.00000	$$0.91684	
$$0.84775	$$1.16000	$$187.00000	$$142.00000	$$8.00000	$$0.93098	
$$0.84750	$$1.25000	$$187.00000	$$142.00000	$$8.00000	$$0.96910	
$$0.84166	$$1.32000	$$187.00000	$$142.00000	$$8.00000	$$1.00000	
$$0.81940	$$1.39000	$$187.00000	$$140.00000	$$8.00000	$$0.93647	
$$0.76626	$$1.50000	$$187.00000	$$140.00000	$$8.00000	$$0.92030	
$$0.71030	$$1.55000	$$187.00000	$$140.00000	$$8.00000	$$0.83078	
$$0.61762	$$1.56000	$$187.00000	$$140.00000	$$8.00000	$$0.50910	
$$0.52739	$$1.56000	$$187.00000	$$140.00000	$$8.00000	$$0.35374	
$$0.44828	$$1.55000	$$187.00000	$$140.00000	$$8.00000	$$0.26855	
$$0.37818	$$1.52000	$$176.00000	$$139.00000	$$6.00000	$$0.70344	
$$0.29229	$$1.45000	$$185.00000	$$140.00000	$$8.00000	$$0.15738	
$$0.23296	$$1.40000	$$185.00000	$$140.00000	$$8.00000	$$0.18828	
$$0.21475	$$1.33000	$$185.00000	$$140.00000	$$8.00000	$$0.18394	
$$0.21601	$$1.27000	$$185.00000	$$140.00000	$$8.00000	$$0.19347	
$$0.21665	$$1.21000	$$185.00000	$$140.00000	$$8.00000	$$0.20243	
$$0.21696	$$1.15000	$$185.00000	$$140.00000	$$8.00000	$$0.20849	
$$0.21712	$$1.04000	$$185.00000	$$140.00000	$$8.00000	$$0.21571	
$$0.21720	$$0.99000	$$185.00000	$$140.00000	$$8.00000	$$0.23303	
$$0.21724	$$0.94000	$$185.00000	$$140.00000	$$8.00000	$$0.24690	
$$0.21726	$$0.90000	$$185.00000	$$140.00000	$$8.00000	$$0.27000	
$$0.22076	$$0.86000	$$187.00000	$$142.00000	$$8.00000	$$0.33468	
$$0.22873	$$0.82000	$$187.00000	$$142.00000	$$8.00000	$$0.44499	
$$0.25385	$$0.76000	$$187.00000	$$142.00000	$$8.00000	$$0.50072	
$$0.29027	$$0.74000	$$187.00000	$$142.00000	$$8.00000	$$0.54577	
$$0.34552	$$0.73000	$$187.00000	$$142.00000	$$8.00000	$$0.61825	
$$0.43772	$$0.00000	$$187.00000	$$142.00000	$$8.00000	$$0.66474	
$$0.51448	$$0.03000	$$187.00000	$$142.00000	$$8.00000	$$0.68178	
$$0.64712	$$0.14000	$$187.00000	$$142.00000	$$8.00000	$$0.64915	
$$0.74065	$$0.21000	$$187.00000	$$142.00000	$$8.00000	$$0.62634	
$$0.80262	$$0.29000	$$187.00000	$$140.00000	$$8.00000	$$0.65954	
$$0.80846	$$0.38000	$$187.00000	$$140.00000	$$8.00000	$$0.68467	
$$0.80554	$$0.46000	$$187.00000	$$140.00000	$$8.00000	$$0.70430	
$$0.80408	$$0.55000	$$187.00000	$$140.00000	$$8.00000	$$0.71354	
$$0.80335	$$0.73000	$$187.00000	$$140.00000	$$8.00000	$$0.55732	
$$0.80299	$$0.82000	$$185.00000	$$140.00000	$$6.00000	$$0.19145	
$$0.80280	$$0.90000	$$185.00000	$$140.00000	$$8.00000	$$0.21080	
$$0.80271	$$0.97000	$$185.00000	$$140.00000	$$8.00000	$$0.20820	
$$0.78340	$$1.03000	$$185.00000	$$140.00000	$$8.00000	$$0.21802	
$$0.72733	$$1.13000	$$184.00000	$$140.00000	$$8.00000	$$0.22755	
$$0.65484	$$1.16000	$$184.00000	$$140.00000	$$8.00000	$$0.24487	
$$0.52092	$$1.15000	$$184.00000	$$140.00000	$$8.00000	$$0.24430	
$$0.41032	$$1.12000	$$184.00000	$$140.00000	$$8.00000	$$0.25180	
$$0.33123	$$1.09000	$$184.00000	$$140.00000	$$8.00000	$$0.25527	
$$0.27778	$$1.05000	$$182.00000	$$140.00000	$$6.00000	$$0.18366	
$$0.25438	$$1.00000	$$182.00000	$$140.00000	$$8.00000	$$0.23535	
$$0.26608	$$0.88000	$$182.00000	$$140.00000	$$8.00000	$$0.24863	
$$0.27193	$$0.82000	$$182.00000	$$140.00000	$$8.00000	$$0.26336	
$$0.27486	$$0.76000	$$184.00000	$$140.00000	$$8.00000	$$0.30349	
$$0.27632	$$0.65000	$$184.00000	$$140.00000	$$8.00000	$$0.37164	
$$0.27705	$$0.60000	$$184.00000	$$140.00000	$$8.00000	$$0.51920	
$$0.27742	$$0.56000	$$184.00000	$$140.00000	$$8.00000	$$0.58302	
$$0.29043	$$0.53000	$$185.00000	$$140.00000	$$8.00000	$$0.65319	
$$0.36379	$$0.53000	$$185.00000	$$142.00000	$$8.00000	$$0.53999	
$$0.48383	$$0.00000	$$185.00000	$$140.00000	$$8.00000	$$0.56165	
$$0.59348	$$0.09000	$$185.00000	$$142.00000	$$8.00000	$$0.53711	
$$0.65742	$$0.15000	$$185.00000	$$140.00000	$$8.00000	$$0.60092	
$$0.70347	$$0.21000	$$185.00000	$$140.00000	$$8.00000	$$0.60583	
$$0.74799	$$0.28000	$$185.00000	$$140.00000	$$8.00000	$$0.65868	
$$0.75949	$$0.36000	$$185.00000	$$140.00000	$$8.00000	$$0.68755	
$$0.75374	$$0.51000	$$185.00000	$$140.00000	$$8.00000	$$0.70315	
$$0.75087	$$0.59000	$$185.00000	$$140.00000	$$8.00000	$$0.69015	
$$0.74943	$$0.67000	$$185.00000	$$140.00000	$$8.00000	$$0.30667	
$$0.74871	$$0.74000	$$185.00000	$$140.00000	$$8.00000	$$0.25902	
$$0.74835	$$0.81000	$$185.00000	$$140.00000	$$8.00000	$$0.25931	
$$0.74817	$$0.87000	$$184.00000	$$140.00000	$$8.00000	$$0.25874	
$$0.72203	$$0.98000	$$184.00000	$$140.00000	$$8.00000	$$0.26393	
$$0.68648	$$1.02000	$$184.00000	$$140.00000	$$8.00000	$$0.27953	
$$0.61610	$$1.04000	$$184.00000	$$140.00000	$$8.00000	$$0.28299	
$$0.49227	$$1.03000	$$182.00000	$$140.00000	$$8.00000	$$0.25383	
$$0.40258	$$1.00000	$$182.00000	$$140.00000	$$8.00000	$$0.24834	
$$0.30744	$$0.92000	$$182.00000	$$140.00000	$$8.00000	$$0.24690	
$$0.24488	$$0.87000	$$182.00000	$$140.00000	$$8.00000	$$0.25238	
$$0.21106	$$0.82000	$$182.00000	$$140.00000	$$8.00000	$$0.25787	
$$0.21077	$$0.77000	$$182.00000	$$140.00000	$$8.00000	$$0.27086	
$$0.21091	$$0.71000	$$182.00000	$$140.00000	$$8.00000	$$0.29685	
$$0.21099	$$0.66000	$$184.00000	$$140.00000	$$8.00000	$$0.35114	
$$0.21102	$$0.55000	$$184.00000	$$140.00000	$$8.00000	$$0.43719	
$$0.21104	$$0.50000	$$184.00000	$$140.00000	$$8.00000	$$0.51285	
$$0.21105	$$0.45000	$$184.00000	$$142.00000	$$6.00000	$$0.63846	
$$0.21105	$$0.41000	$$185.00000	$$142.00000	$$8.00000	$$0.68236	
$$0.23651	$$0.37000	$$185.00000	$$142.00000	$$8.00000	$$0.53046	
$$0.29202	$$0.36000	$$185.00000	$$140.00000	$$8.00000	$$0.51083	
$$0.45877	$$0.04000	$$185.00000	$$140.00000	$$8.00000	$$0.51747	
$$0.57177	$$0.08000	$$185.00000	$$140.00000	$$8.00000	$$0.55963	
$$0.65810	$$0.14000	$$185.00000	$$142.00000	$$8.00000	$$0.61710	
$$0.73180	$$0.21000	$$187.00000	$$140.00000	$$8.00000	$$0.70517	
$$0.78102	$$0.29000	$$185.00000	$$142.00000	$$8.00000	$$0.73000	
$$0.78855	$$0.37000	$$185.00000	$$142.00000	$$8.00000	$$0.72654	
$$0.78479	$$0.55000	$$184.00000	$$140.00000	$$8.00000	$$0.71210	
$$0.78290	$$0.64000	$$184.00000	$$140.00000	$$8.00000	$$0.45539	
$$0.78196	$$0.72000	$$184.00000	$$140.00000	$$8.00000	$$0.25354	
$$0.78149	$$0.80000	$$184.00000	$$140.00000	$$8.00000	$$0.24314	
$$0.78125	$$0.88000	$$182.00000	$$140.00000	$$8.00000	$$0.21831	
$$0.78114	$$1.02000	$$182.00000	$$140.00000	$$8.00000	$$0.22437	
$$0.77047	$$1.09000	$$182.00000	$$140.00000	$$8.00000	$$0.23419	
$$0.73237	$$1.13000	$$182.00000	$$140.00000	$$8.00000	$$0.23448	
$$0.68442	$$1.17000	$$182.00000	$$139.00000	$$8.00000	$$0.24228	
$$0.61707	$$1.19000	$$182.00000	$$140.00000	$$8.00000	$$0.23939	
$$0.50069	$$1.18000	$$182.00000	$$140.00000	$$8.00000	$$0.24401	
$$0.40505	$$1.16000	$$182.00000	$$140.00000	$$8.00000	$$0.24141	
$$0.29507	$$1.07000	$$182.00000	$$140.00000	$$8.00000	$$0.24314	
$$0.22589	$$1.02000	$$182.00000	$$140.00000	$$8.00000	$$0.24256	
$$0.20376	$$0.96000	$$182.00000	$$140.00000	$$8.00000	$$0.24430	
$$0.21482	$$0.91000	$$182.00000	$$140.00000	$$8.00000	$$0.26538	
$$0.22036	$$0.85000	$$182.00000	$$140.00000	$$8.00000	$$0.31302	
$$0.22312	$$0.73000	$$182.00000	$$140.00000	$$8.00000	$$0.36818	
$$0.22451	$$0.68000	$$182.00000	$$140.00000	$$8.00000	$$0.50592	
$$0.22520	$$0.62000	$$182.00000	$$140.00000	$$8.00000	$$0.52527	
$$0.22554	$$0.58000	$$182.00000	$$140.00000	$$8.00000	$$0.57869	
$$0.25565	$$0.51000	$$184.00000	$$142.00000	$$8.00000	$$0.65290	
$$0.31427	$$0.49000	$$184.00000	$$140.00000	$$8.00000	$$0.67514	
$$0.41641	$$0.00000	$$184.00000	$$142.00000	$$8.00000	$$0.72278	
$$0.53369	$$0.04000	$$184.00000	$$142.00000	$$8.00000	$$0.72971	
$$0.62383	$$0.09000	$$184.00000	$$142.00000	$$8.00000	$$0.74762	
$$0.69515	$$0.16000	$$184.00000	$$142.00000	$$8.00000	$$0.77216	
$$0.75727	$$0.23000	$$184.00000	$$142.00000	$$8.00000	$$0.78342	
$$0.75111	$$0.40000	$$184.00000	$$139.00000	$$8.00000	$$0.74415	
$$0.74803	$$0.49000	$$184.00000	$$139.00000	$$8.00000	$$0.38493	
$$0.74649	$$0.66000	$$184.00000	$$137.00000	$$8.00000	$$0.22148	
$$0.74572	$$0.75000	$$182.00000	$$137.00000	$$8.00000	$$0.18337	
$$0.74534	$$0.83000	$$182.00000	$$137.00000	$$8.00000	$$0.19145	
$$0.74515	$$0.90000	$$182.00000	$$137.00000	$$8.00000	$$0.21427	
$$0.74505	$$1.03000	$$182.00000	$$137.00000	$$8.00000	$$0.22264	
$$0.71677	$$1.08000	$$182.00000	$$137.00000	$$8.00000	$$0.24747	
$$0.58733	$$1.11000	$$181.00000	$$137.00000	$$8.00000	$$0.22495	
$$0.47129	$$1.09000	$$181.00000	$$137.00000	$$8.00000	$$0.24170	
$$0.35150	$$1.02000	$$179.00000	$$137.00000	$$8.00000	$$0.19781	
$$0.28900	$$0.97000	$$179.00000	$$137.00000	$$8.00000	$$0.17528	
$$0.28696	$$0.86000	$$178.00000	$$137.00000	$$8.00000	$$0.14121	
$$0.28798	$$0.81000	$$178.00000	$$137.00000	$$8.00000	$$0.15593	
$$0.28849	$$0.70000	$$179.00000	$$137.00000	$$8.00000	$$0.21831	
$$0.28875	$$0.59000	$$179.00000	$$137.00000	$$8.00000	$$0.30898	
$$0.28888	$$0.54000	$$179.00000	$$137.00000	$$8.00000	$$0.39099	
$$0.28894	$$0.45000	$$179.00000	$$137.00000	$$8.00000	$$0.43171	
$$0.28897	$$0.42000	$$179.00000	$$137.00000	$$8.00000	$$0.45972	
$$0.40880	$$0.00000	$$178.00000	$$137.00000	$$8.00000	$$0.48137	
$$0.50479	$$0.03000	$$179.00000	$$137.00000	$$8.00000	$$0.50159	
$$0.63029	$$0.14000	$$178.00000	$$137.00000	$$8.00000	$$0.48137	
$$0.71672	$$0.21000	$$178.00000	$$137.00000	$$8.00000	$$0.47733	
$$0.78004	$$0.29000	$$178.00000	$$137.00000	$$8.00000	$$0.52700	
$$0.80014	$$0.47000	$$179.00000	$$137.00000	$$8.00000	$$0.57407	
$$0.79432	$$0.56000	$$179.00000	$$137.00000	$$8.00000	$$0.58793	
$$0.79142	$$0.65000	$$179.00000	$$137.00000	$$8.00000	$$0.60323	
$$0.78996	$$0.74000	$$179.00000	$$137.00000	$$8.00000	$$0.62720	
$$0.78924	$$0.91000	$$179.00000	$$137.00000	$$8.00000	$$0.61796	
$$0.78887	$$0.99000	$$178.00000	$$137.00000	$$8.00000	$$0.34103	
$$0.78869	$$1.06000	$$178.00000	$$137.00000	$$8.00000	$$0.24112	
$$0.78860	$$1.13000	$$178.00000	$$137.00000	$$8.00000	$$0.20127	
$$0.76997	$$1.19000	$$178.00000	$$137.00000	$$8.00000	$$0.18135	
$$0.69169	$$1.27000	$$178.00000	$$137.00000	$$8.00000	$$0.17846	
$$0.61314	$$1.28000	$$176.00000	$$137.00000	$$8.00000	$$0.14525	
$$0.49693	$$1.27000	$$176.00000	$$137.00000	$$8.00000	$$0.13052	
