++flow      	++volume    	++position_x	++position_y	++radius    	++average   	
$$0.31481	$$-0.10000	$$188.00000	$$155.00000	$$8.00000	$$0.15192	
$$0.31369	$$-0.14000	$$188.00000	$$155.00000	$$8.00000	$$0.16635	
$$0.31309	$$-0.17000	$$188.00000	$$155.00000	$$8.00000	$$0.13526	
$$0.31338	$$-0.19000	$$188.00000	$$155.00000	$$8.00000	$$0.13429	
$$0.31418	$$-0.21000	$$188.00000	$$155.00000	$$8.00000	$$0.14263	
$$0.31190	$$-0.26000	$$188.00000	$$155.00000	$$8.00000	$$0.14231	
$$0.32232	$$-0.28000	$$188.00000	$$155.00000	$$8.00000	$$0.15673	
$$0.32336	$$-0.30000	$$188.00000	$$155.00000	$$8.00000	$$0.16667	
$$0.33100	$$-0.32000	$$188.00000	$$155.00000	$$8.00000	$$0.15481	
$$0.33482	$$-0.32000	$$188.00000	$$155.00000	$$8.00000	$$0.16058	
$$0.34402	$$-0.39000	$$188.00000	$$155.00000	$$8.00000	$$0.16058	
$$0.34967	$$-0.40000	$$188.00000	$$155.00000	$$8.00000	$$0.13814	
$$0.35337	$$-0.42000	$$188.00000	$$155.00000	$$8.00000	$$0.13237	
$$0.35873	$$-0.43000	$$188.00000	$$155.00000	$$8.00000	$$0.12436	
$$0.36522	$$-0.44000	$$188.00000	$$155.00000	$$8.00000	$$0.12308	
$$0.36846	$$-0.47000	$$188.00000	$$155.00000	$$8.00000	$$0.13654	
$$0.37568	$$-0.48000	$$188.00000	$$155.00000	$$8.00000	$$0.14615	
$$0.38140	$$-0.49000	$$188.00000	$$155.00000	$$8.00000	$$0.15769	
$$0.38694	$$-0.50000	$$188.00000	$$155.00000	$$8.00000	$$0.18974	
$$0.39327	$$-0.51000	$$188.00000	$$155.00000	$$8.00000	$$0.22853	
$$0.39844	$$-0.52000	$$188.00000	$$155.00000	$$8.00000	$$0.27147	
$$0.40304	$$-0.52000	$$188.00000	$$155.00000	$$8.00000	$$0.35801	
$$0.40733	$$-0.53000	$$188.00000	$$155.00000	$$8.00000	$$0.39135	
$$0.40996	$$-0.54000	$$188.00000	$$155.00000	$$8.00000	$$0.42244	
$$0.41445	$$-0.54000	$$188.00000	$$155.00000	$$8.00000	$$0.44167	
$$0.42024	$$-0.54000	$$188.00000	$$155.00000	$$8.00000	$$0.47949	
$$0.43849	$$0.00000	$$188.00000	$$155.00000	$$8.00000	$$0.53910	
$$0.45650	$$0.01000	$$188.00000	$$155.00000	$$8.00000	$$0.58654	
$$0.46998	$$0.02000	$$190.00000	$$155.00000	$$8.00000	$$0.50449	
$$0.47671	$$0.03000	$$190.00000	$$155.00000	$$8.00000	$$0.57051	
$$0.49495	$$0.05000	$$190.00000	$$155.00000	$$8.00000	$$0.57660	
$$0.50501	$$0.07000	$$190.00000	$$155.00000	$$8.00000	$$0.59904	
$$0.51041	$$0.08000	$$190.00000	$$157.00000	$$8.00000	$$0.65737	
$$0.51418	$$0.10000	$$190.00000	$$155.00000	$$8.00000	$$0.68782	
$$0.51749	$$0.12000	$$190.00000	$$155.00000	$$8.00000	$$0.70417	
$$0.51583	$$0.15000	$$190.00000	$$157.00000	$$8.00000	$$0.68494	
$$0.51501	$$0.17000	$$190.00000	$$157.00000	$$8.00000	$$0.67468	
$$0.51459	$$0.18000	$$190.00000	$$157.00000	$$8.00000	$$0.68013	
$$0.51439	$$0.21000	$$190.00000	$$157.00000	$$8.00000	$$0.74006	
$$0.51428	$$0.24000	$$190.00000	$$157.00000	$$8.00000	$$0.73782	
$$0.51423	$$0.26000	$$190.00000	$$157.00000	$$8.00000	$$0.74071	
$$0.51225	$$0.29000	$$190.00000	$$157.00000	$$8.00000	$$0.74487	
$$0.50657	$$0.30000	$$190.00000	$$157.00000	$$8.00000	$$0.74423	
$$0.50166	$$0.31000	$$190.00000	$$157.00000	$$8.00000	$$0.76090	
$$0.49921	$$0.32000	$$190.00000	$$157.00000	$$8.00000	$$0.76122	
$$0.49798	$$0.33000	$$190.00000	$$157.00000	$$8.00000	$$0.75609	
$$0.49737	$$0.35000	$$190.00000	$$157.00000	$$8.00000	$$0.74808	
$$0.49666	$$0.36000	$$190.00000	$$157.00000	$$8.00000	$$0.73750	
$$0.49630	$$0.38000	$$190.00000	$$157.00000	$$8.00000	$$0.72821	
$$0.49082	$$0.38000	$$190.00000	$$157.00000	$$8.00000	$$0.72628	
$$0.48394	$$0.40000	$$190.00000	$$158.00000	$$8.00000	$$0.69583	
$$0.48050	$$0.41000	$$190.00000	$$158.00000	$$8.00000	$$0.67596	
$$0.47824	$$0.42000	$$190.00000	$$158.00000	$$8.00000	$$0.65769	
$$0.45770	$$0.42000	$$190.00000	$$158.00000	$$8.00000	$$0.60897	
$$0.44743	$$0.42000	$$190.00000	$$157.00000	$$8.00000	$$0.51442	
$$0.44230	$$0.42000	$$190.00000	$$157.00000	$$8.00000	$$0.41635	
$$0.43646	$$0.42000	$$190.00000	$$157.00000	$$8.00000	$$0.29936	
$$0.42727	$$0.41000	$$190.00000	$$157.00000	$$8.00000	$$0.23173	
$$0.42267	$$0.41000	$$190.00000	$$157.00000	$$8.00000	$$0.17212	
$$0.42037	$$0.40000	$$190.00000	$$157.00000	$$8.00000	$$0.14327	
$$0.41573	$$0.40000	$$190.00000	$$157.00000	$$8.00000	$$0.11474	
$$0.41121	$$0.39000	$$190.00000	$$157.00000	$$8.00000	$$0.10897	
$$0.40297	$$0.38000	$$190.00000	$$157.00000	$$8.00000	$$0.10545	
$$0.39432	$$0.37000	$$190.00000	$$157.00000	$$8.00000	$$0.12308	
