++flow      	++volume    	++position_x	++position_y	++radius    	++average   	
$$0.04864	$$-0.91000	$$179.00000	$$139.00000	$$8.00000	$$0.10788	
$$0.00658	$$-0.98000	$$179.00000	$$139.00000	$$8.00000	$$0.10570	
$$0.03506	$$-1.07000	$$179.00000	$$139.00000	$$8.00000	$$0.10521	
$$-0.02680	$$-1.15000	$$179.00000	$$139.00000	$$8.00000	$$0.10739	
$$0.03587	$$-1.23000	$$179.00000	$$139.00000	$$8.00000	$$0.11127	
$$-0.01353	$$-1.39000	$$179.00000	$$139.00000	$$8.00000	$$0.11200	
$$0.03495	$$-1.47000	$$179.00000	$$139.00000	$$8.00000	$$0.11297	
$$0.00223	$$-1.55000	$$179.00000	$$139.00000	$$8.00000	$$0.11491	
$$0.05110	$$-1.63000	$$179.00000	$$139.00000	$$8.00000	$$0.11394	
$$0.02273	$$-1.70000	$$179.00000	$$139.00000	$$8.00000	$$0.11515	
$$0.04802	$$-1.78000	$$179.00000	$$139.00000	$$8.00000	$$0.12848	
$$0.03821	$$-1.92000	$$179.00000	$$139.00000	$$8.00000	$$0.13794	
$$0.05384	$$-1.99000	$$179.00000	$$139.00000	$$8.00000	$$0.15200	
$$0.07459	$$-2.05000	$$179.00000	$$139.00000	$$8.00000	$$0.15952	
$$0.07850	$$-2.11000	$$179.00000	$$139.00000	$$8.00000	$$0.17212	
$$0.11180	$$-2.22000	$$179.00000	$$139.00000	$$8.00000	$$0.23855	
$$0.10939	$$-2.27000	$$179.00000	$$139.00000	$$8.00000	$$0.28412	
$$0.15777	$$-2.31000	$$179.00000	$$139.00000	$$8.00000	$$0.31612	
$$0.14933	$$-2.34000	$$179.00000	$$139.00000	$$8.00000	$$0.40364	
$$0.21568	$$-2.36000	$$179.00000	$$139.00000	$$8.00000	$$0.45188	
$$0.23149	$$0.02000	$$179.00000	$$139.00000	$$8.00000	$$0.47758	
$$0.33079	$$0.04000	$$179.00000	$$139.00000	$$8.00000	$$0.54885	
$$0.42448	$$0.09000	$$179.00000	$$139.00000	$$8.00000	$$0.58764	
$$0.50321	$$0.13000	$$179.00000	$$139.00000	$$8.00000	$$0.61988	
$$0.57238	$$0.19000	$$181.00000	$$140.00000	$$8.00000	$$0.68509	
$$0.61863	$$0.25000	$$181.00000	$$140.00000	$$8.00000	$$0.70933	
$$0.67653	$$0.39000	$$181.00000	$$140.00000	$$8.00000	$$0.72267	
$$0.69355	$$0.47000	$$181.00000	$$140.00000	$$8.00000	$$0.76752	
$$0.77867	$$0.56000	$$181.00000	$$140.00000	$$8.00000	$$0.78085	
$$0.79441	$$0.65000	$$181.00000	$$140.00000	$$8.00000	$$0.78061	
$$0.86738	$$0.73000	$$182.00000	$$140.00000	$$8.00000	$$0.80873	
$$0.83402	$$0.82000	$$182.00000	$$140.00000	$$8.00000	$$0.81333	
$$0.90287	$$0.99000	$$182.00000	$$142.00000	$$8.00000	$$0.83030	
$$0.82949	$$1.08000	$$182.00000	$$142.00000	$$8.00000	$$0.83588	
$$0.91119	$$1.16000	$$182.00000	$$142.00000	$$8.00000	$$0.87006	
$$0.81634	$$1.25000	$$182.00000	$$140.00000	$$8.00000	$$0.89333	
$$0.86891	$$1.41000	$$182.00000	$$142.00000	$$8.00000	$$0.92000	
