++flow      	++volume    	++position_x	++position_y	++radius    	++average   	
$$0.39304	$$-0.25000	$$169.00000	$$143.00000	$$8.00000	$$0.08225	
$$0.36740	$$-0.26000	$$169.00000	$$143.00000	$$8.00000	$$0.09260	
$$0.45244	$$-0.26000	$$169.00000	$$142.00000	$$8.00000	$$0.07189	
$$0.41485	$$-0.26000	$$169.00000	$$142.00000	$$8.00000	$$0.07870	
$$0.42259	$$0.01000	$$169.00000	$$142.00000	$$8.00000	$$0.08491	
$$0.49542	$$0.03000	$$169.00000	$$142.00000	$$8.00000	$$0.08107	
$$0.51635	$$0.05000	$$169.00000	$$142.00000	$$8.00000	$$0.09793	
$$0.52711	$$0.06000	$$170.00000	$$140.00000	$$8.00000	$$0.09083	
$$0.52804	$$0.07000	$$170.00000	$$140.00000	$$8.00000	$$0.08639	
$$0.50556	$$0.08000	$$170.00000	$$140.00000	$$8.00000	$$0.12041	
$$0.50574	$$0.10000	$$172.00000	$$142.00000	$$8.00000	$$0.24793	
$$0.50997	$$0.11000	$$170.00000	$$140.00000	$$8.00000	$$0.19408	
$$0.50828	$$0.14000	$$170.00000	$$140.00000	$$8.00000	$$0.18787	
$$0.51684	$$0.16000	$$170.00000	$$140.00000	$$8.00000	$$0.18195	
$$0.51627	$$0.19000	$$170.00000	$$140.00000	$$8.00000	$$0.16953	
$$0.51756	$$0.22000	$$172.00000	$$140.00000	$$8.00000	$$0.18905	
$$0.53283	$$0.27000	$$169.00000	$$140.00000	$$8.00000	$$0.14379	
$$0.54192	$$0.29000	$$170.00000	$$140.00000	$$8.00000	$$0.12751	
$$0.54692	$$0.31000	$$170.00000	$$140.00000	$$8.00000	$$0.12367	
$$0.55142	$$0.34000	$$170.00000	$$140.00000	$$8.00000	$$0.13077	
$$0.55168	$$0.36000	$$170.00000	$$140.00000	$$8.00000	$$0.13639	
$$0.55352	$$0.41000	$$170.00000	$$140.00000	$$8.00000	$$0.13639	
$$0.55470	$$0.43000	$$170.00000	$$140.00000	$$8.00000	$$0.12811	
$$0.55405	$$0.45000	$$169.00000	$$142.00000	$$8.00000	$$0.13343	
$$0.55393	$$0.47000	$$169.00000	$$142.00000	$$8.00000	$$0.10592	
$$0.55370	$$0.49000	$$170.00000	$$140.00000	$$8.00000	$$0.07367	
$$0.55404	$$0.51000	$$170.00000	$$140.00000	$$8.00000	$$0.08107	
$$0.55316	$$0.57000	$$170.00000	$$140.00000	$$8.00000	$$0.08964	
$$0.55369	$$0.60000	$$170.00000	$$140.00000	$$8.00000	$$0.09615	
$$0.55455	$$0.63000	$$170.00000	$$140.00000	$$8.00000	$$0.11568	
$$0.55245	$$0.64000	$$170.00000	$$140.00000	$$8.00000	$$0.12870	
$$0.55441	$$0.67000	$$169.00000	$$142.00000	$$8.00000	$$0.19911	
$$0.55453	$$0.71000	$$172.00000	$$140.00000	$$8.00000	$$0.21538	
$$0.55170	$$0.83000	$$170.00000	$$140.00000	$$8.00000	$$0.28314	
$$0.55561	$$0.89000	$$172.00000	$$140.00000	$$8.00000	$$0.30917	
$$0.55374	$$0.97000	$$172.00000	$$140.00000	$$8.00000	$$0.32722	
$$0.55135	$$1.04000	$$172.00000	$$140.00000	$$8.00000	$$0.33964	
