++flow      	++volume    	++position_x	++position_y	++radius    	++average   	
$$0.41815	$$-0.33000	$$191.00000	$$154.00000	$$8.00000	$$0.22481	
$$0.41055	$$-0.34000	$$191.00000	$$154.00000	$$8.00000	$$0.21073	
$$0.39951	$$-0.34000	$$191.00000	$$154.00000	$$8.00000	$$0.21777	
$$0.37040	$$-0.35000	$$191.00000	$$155.00000	$$8.00000	$$0.20853	
$$0.34574	$$-0.38000	$$191.00000	$$155.00000	$$8.00000	$$0.18918	
$$0.32699	$$-0.40000	$$191.00000	$$155.00000	$$8.00000	$$0.18522	
$$0.32959	$$-0.45000	$$191.00000	$$155.00000	$$8.00000	$$0.19270	
$$0.33449	$$-0.46000	$$191.00000	$$155.00000	$$8.00000	$$0.18302	
$$0.33297	$$-0.50000	$$190.00000	$$155.00000	$$8.00000	$$0.22613	
$$0.33382	$$-0.52000	$$190.00000	$$155.00000	$$8.00000	$$0.22877	
$$0.33338	$$-0.54000	$$190.00000	$$155.00000	$$8.00000	$$0.23537	
$$0.33363	$$-0.57000	$$190.00000	$$155.00000	$$8.00000	$$0.25297	
$$0.33374	$$-0.61000	$$190.00000	$$154.00000	$$6.00000	$$0.21645	
$$0.33773	$$-0.63000	$$190.00000	$$154.00000	$$6.00000	$$0.21821	
$$0.34310	$$-0.65000	$$190.00000	$$155.00000	$$8.00000	$$0.27409	
$$0.35033	$$-0.66000	$$190.00000	$$154.00000	$$8.00000	$$0.30136	
$$0.35522	$$-0.68000	$$190.00000	$$154.00000	$$8.00000	$$0.29960	
$$0.35776	$$-0.71000	$$191.00000	$$155.00000	$$8.00000	$$0.24285	
$$0.35973	$$-0.72000	$$191.00000	$$155.00000	$$8.00000	$$0.22833	
$$0.35993	$$-0.75000	$$190.00000	$$154.00000	$$8.00000	$$0.29828	
$$0.36549	$$-0.78000	$$190.00000	$$154.00000	$$8.00000	$$0.30180	
$$0.37234	$$-0.79000	$$190.00000	$$154.00000	$$8.00000	$$0.31676	
$$0.37785	$$-0.82000	$$190.00000	$$154.00000	$$8.00000	$$0.33172	
$$0.38061	$$-0.83000	$$190.00000	$$154.00000	$$8.00000	$$0.37703	
$$0.38274	$$-0.84000	$$190.00000	$$154.00000	$$8.00000	$$0.48922	
$$0.38696	$$-0.85000	$$190.00000	$$154.00000	$$8.00000	$$0.58645	
$$0.38817	$$-0.86000	$$191.00000	$$155.00000	$$8.00000	$$0.56621	
$$0.39726	$$-0.88000	$$191.00000	$$155.00000	$$8.00000	$$0.61285	
$$0.40856	$$-0.89000	$$191.00000	$$155.00000	$$8.00000	$$0.68896	
$$0.41291	$$-0.90000	$$191.00000	$$155.00000	$$8.00000	$$0.74659	
$$0.41574	$$-0.92000	$$191.00000	$$155.00000	$$8.00000	$$0.75891	
$$0.41686	$$-0.94000	$$191.00000	$$155.00000	$$8.00000	$$0.76067	
$$0.42177	$$-0.94000	$$191.00000	$$155.00000	$$8.00000	$$0.76771	
$$0.43034	$$-0.94000	$$191.00000	$$155.00000	$$8.00000	$$0.76639	
$$0.44344	$$-0.95000	$$191.00000	$$155.00000	$$8.00000	$$0.79278	
$$0.45353	$$-0.95000	$$191.00000	$$155.00000	$$8.00000	$$0.82050	
$$0.47131	$$-0.95000	$$191.00000	$$155.00000	$$8.00000	$$0.83986	
$$0.48964	$$0.00000	$$191.00000	$$155.00000	$$8.00000	$$0.85262	
$$0.49567	$$0.00000	$$191.00000	$$155.00000	$$8.00000	$$0.87374	
$$0.50275	$$0.01000	$$191.00000	$$155.00000	$$8.00000	$$0.90057	
$$0.50631	$$0.04000	$$191.00000	$$155.00000	$$8.00000	$$0.91201	
$$0.50620	$$0.05000	$$191.00000	$$155.00000	$$8.00000	$$0.91729	
$$0.50648	$$0.06000	$$191.00000	$$155.00000	$$8.00000	$$0.90541	
$$0.50615	$$0.08000	$$191.00000	$$155.00000	$$8.00000	$$0.90497	
$$0.50658	$$0.09000	$$191.00000	$$155.00000	$$8.00000	$$0.92961	
$$0.50610	$$0.11000	$$191.00000	$$155.00000	$$8.00000	$$0.96128	
$$0.50674	$$0.14000	$$191.00000	$$155.00000	$$8.00000	$$0.98768	
$$0.50579	$$0.15000	$$191.00000	$$155.00000	$$8.00000	$$0.96260	
$$0.50842	$$0.17000	$$191.00000	$$155.00000	$$8.00000	$$0.96260	
$$0.51139	$$0.18000	$$191.00000	$$155.00000	$$8.00000	$$0.96700	
$$0.51474	$$0.21000	$$191.00000	$$155.00000	$$8.00000	$$0.96348	
$$0.51482	$$0.22000	$$191.00000	$$155.00000	$$8.00000	$$0.98372	
$$0.51621	$$0.23000	$$191.00000	$$155.00000	$$8.00000	$$0.98988	
$$0.51502	$$0.25000	$$193.00000	$$155.00000	$$8.00000	$$1.00000	
$$0.51513	$$0.26000	$$193.00000	$$157.00000	$$8.00000	$$0.97448	
$$0.51516	$$0.28000	$$193.00000	$$157.00000	$$8.00000	$$0.98680	
$$0.51510	$$0.32000	$$193.00000	$$157.00000	$$8.00000	$$0.99604	
$$0.51510	$$0.33000	$$191.00000	$$155.00000	$$8.00000	$$0.98680	
$$0.51215	$$0.35000	$$193.00000	$$157.00000	$$8.00000	$$0.99340	
$$0.50836	$$0.36000	$$193.00000	$$157.00000	$$8.00000	$$0.98900	
$$0.50376	$$0.38000	$$193.00000	$$157.00000	$$8.00000	$$0.98812	
$$0.49971	$$0.40000	$$193.00000	$$157.00000	$$8.00000	$$0.97888	
$$0.49245	$$0.43000	$$191.00000	$$155.00000	$$8.00000	$$0.99648	
$$0.48858	$$0.44000	$$191.00000	$$155.00000	$$8.00000	$$0.97800	
$$0.48614	$$0.45000	$$191.00000	$$155.00000	$$8.00000	$$0.95645	
$$0.48560	$$0.47000	$$191.00000	$$155.00000	$$8.00000	$$0.93577	
$$0.48462	$$0.48000	$$193.00000	$$157.00000	$$8.00000	$$0.90321	
$$0.48493	$$0.49000	$$191.00000	$$155.00000	$$8.00000	$$0.92125	
$$0.48414	$$0.50000	$$191.00000	$$155.00000	$$8.00000	$$0.88737	
$$0.48504	$$0.51000	$$191.00000	$$155.00000	$$8.00000	$$0.76991	
$$0.48270	$$0.52000	$$191.00000	$$155.00000	$$8.00000	$$0.56357	
$$0.47297	$$0.54000	$$191.00000	$$157.00000	$$8.00000	$$0.37615	
