++flow      	++volume    	++average   	++position_x	++position_y	++radius    	
$$-48.06000	$$0.63000	$$0.51427	$$200.00000	$$169.00000	$$8.00000	
$$-50.42000	$$0.59000	$$0.57396	$$200.00000	$$169.00000	$$8.00000	
$$-50.09000	$$0.56000	$$0.61036	$$200.00000	$$169.00000	$$8.00000	
$$-52.52000	$$0.52000	$$0.62480	$$200.00000	$$169.00000	$$8.00000	
$$-56.86000	$$0.45000	$$0.64382	$$200.00000	$$169.00000	$$8.00000	
$$-57.86000	$$0.41000	$$0.67662	$$200.00000	$$169.00000	$$8.00000	
$$-57.60000	$$0.37000	$$0.67793	$$200.00000	$$169.00000	$$8.00000	
$$-59.11000	$$0.33000	$$0.71269	$$200.00000	$$169.00000	$$8.00000	
$$-57.38000	$$0.30000	$$0.70318	$$200.00000	$$169.00000	$$8.00000	
$$-51.65000	$$0.22000	$$0.55198	$$202.00000	$$169.00000	$$8.00000	
$$-46.08000	$$0.19000	$$0.55526	$$202.00000	$$169.00000	$$8.00000	
$$-38.15000	$$0.17000	$$0.55723	$$202.00000	$$169.00000	$$8.00000	
$$-26.24000	$$0.15000	$$0.69039	$$200.00000	$$169.00000	$$8.00000	
$$-6.00000	$$0.13000	$$0.68941	$$200.00000	$$169.00000	$$8.00000	
$$10.09000	$$0.00000	$$0.69072	$$200.00000	$$169.00000	$$8.00000	
$$38.09000	$$0.04000	$$0.65694	$$200.00000	$$169.00000	$$8.00000	
$$43.29000	$$0.07000	$$0.55231	$$200.00000	$$169.00000	$$8.00000	
$$56.15000	$$0.11000	$$0.46048	$$200.00000	$$169.00000	$$8.00000	
$$55.19000	$$0.15000	$$0.37324	$$202.00000	$$167.00000	$$6.00000	
$$56.34000	$$0.18000	$$0.30731	$$202.00000	$$167.00000	$$6.00000	
$$55.56000	$$0.26000	$$0.27648	$$202.00000	$$167.00000	$$6.00000	
$$56.49000	$$0.30000	$$0.25385	$$202.00000	$$167.00000	$$6.00000	
$$53.16000	$$0.33000	$$0.23811	$$202.00000	$$167.00000	$$6.00000	
$$53.22000	$$0.40000	$$0.23188	$$202.00000	$$167.00000	$$6.00000	
$$53.66000	$$0.44000	$$0.22893	$$200.00000	$$169.00000	$$8.00000	
$$55.15000	$$0.47000	$$0.21122	$$200.00000	$$169.00000	$$8.00000	
$$54.00000	$$0.51000	$$0.17711	$$200.00000	$$169.00000	$$8.00000	
$$51.56000	$$0.54000	$$0.15284	$$200.00000	$$169.00000	$$8.00000	
$$50.39000	$$0.61000	$$0.25615	$$200.00000	$$167.00000	$$6.00000	
$$48.14000	$$0.64000	$$0.24664	$$200.00000	$$167.00000	$$6.00000	
$$47.58000	$$0.67000	$$0.20958	$$199.00000	$$169.00000	$$8.00000	
$$45.46000	$$0.70000	$$0.18170	$$199.00000	$$169.00000	$$8.00000	
$$40.12000	$$0.73000	$$0.17776	$$199.00000	$$169.00000	$$8.00000	
$$32.57000	$$0.75000	$$0.17842	$$199.00000	$$169.00000	$$8.00000	
$$11.24000	$$0.78000	$$0.25353	$$199.00000	$$169.00000	$$8.00000	
$$-4.40000	$$0.77000	$$0.30797	$$200.00000	$$169.00000	$$8.00000	
$$-14.01000	$$0.76000	$$0.42014	$$200.00000	$$169.00000	$$8.00000	
$$-22.67000	$$0.75000	$$0.51689	$$200.00000	$$169.00000	$$8.00000	
$$-34.22000	$$0.73000	$$0.55330	$$200.00000	$$169.00000	$$8.00000	
$$-38.44000	$$0.70000	$$0.58085	$$200.00000	$$169.00000	$$8.00000	
$$-44.56000	$$0.64000	$$0.61266	$$200.00000	$$169.00000	$$8.00000	
$$-49.40000	$$0.61000	$$0.64972	$$200.00000	$$169.00000	$$8.00000	
$$-56.69000	$$0.54000	$$0.55526	$$202.00000	$$169.00000	$$8.00000	
$$-56.20000	$$0.50000	$$0.56937	$$202.00000	$$169.00000	$$8.00000	
$$-51.38000	$$0.46000	$$0.83208	$$202.00000	$$167.00000	$$6.00000	
