++flow      	++volume    	++average   	++position_x	++position_y	++radius    	
$$-6.89000	$$-0.28000	$$0.62130	$$193.00000	$$170.00000	$$8.00000	
$$-11.98000	$$-0.29000	$$0.68531	$$193.00000	$$170.00000	$$8.00000	
$$-13.96000	$$-0.30000	$$0.69661	$$193.00000	$$170.00000	$$8.00000	
$$-14.79000	$$-0.31000	$$0.72673	$$193.00000	$$170.00000	$$8.00000	
$$-16.38000	$$-0.32000	$$0.74126	$$193.00000	$$170.00000	$$8.00000	
$$-18.56000	$$-0.33000	$$0.76170	$$193.00000	$$170.00000	$$8.00000	
$$-20.99000	$$-0.35000	$$0.77192	$$193.00000	$$170.00000	$$8.00000	
$$-25.40000	$$-0.38000	$$0.77569	$$193.00000	$$170.00000	$$8.00000	
$$-27.72000	$$-0.40000	$$0.78214	$$193.00000	$$170.00000	$$8.00000	
$$-25.06000	$$-0.43000	$$0.78591	$$193.00000	$$170.00000	$$8.00000	
$$-21.84000	$$-0.46000	$$0.75632	$$193.00000	$$170.00000	$$8.00000	
$$-21.69000	$$-0.48000	$$0.75094	$$193.00000	$$170.00000	$$8.00000	
$$-18.19000	$$-0.50000	$$0.73857	$$193.00000	$$170.00000	$$8.00000	
$$-15.20000	$$-0.51000	$$0.73857	$$193.00000	$$170.00000	$$8.00000	
$$-3.30000	$$-0.52000	$$0.88488	$$194.00000	$$169.00000	$$6.00000	
$$18.78000	$$0.00000	$$0.84938	$$194.00000	$$169.00000	$$6.00000	
$$40.27000	$$0.05000	$$0.72028	$$193.00000	$$170.00000	$$8.00000	
$$42.20000	$$0.08000	$$0.72136	$$193.00000	$$170.00000	$$8.00000	
$$44.36000	$$0.11000	$$0.82249	$$194.00000	$$169.00000	$$6.00000	
$$44.85000	$$0.14000	$$0.80958	$$194.00000	$$169.00000	$$6.00000	
$$44.88000	$$0.20000	$$0.80850	$$194.00000	$$169.00000	$$6.00000	
$$43.70000	$$0.23000	$$0.80204	$$194.00000	$$169.00000	$$6.00000	
$$42.35000	$$0.26000	$$0.72189	$$194.00000	$$169.00000	$$6.00000	
$$43.86000	$$0.29000	$$0.48144	$$193.00000	$$170.00000	$$8.00000	
$$42.58000	$$0.32000	$$0.40559	$$193.00000	$$170.00000	$$8.00000	
$$36.38000	$$0.37000	$$0.33835	$$193.00000	$$170.00000	$$8.00000	
$$32.83000	$$0.39000	$$0.29478	$$193.00000	$$170.00000	$$8.00000	
$$24.02000	$$0.42000	$$0.23884	$$193.00000	$$170.00000	$$8.00000	
$$21.45000	$$0.44000	$$0.24368	$$193.00000	$$170.00000	$$8.00000	
$$11.84000	$$0.46000	$$0.22969	$$193.00000	$$170.00000	$$8.00000	
