++flow      	++volume    	++average   	++position_x	++position_y	++radius    	
$$51.88000	$$0.03000	$$0.58755	$$188.00000	$$157.00000	$$8.00000	
$$56.16000	$$0.07000	$$0.30766	$$188.00000	$$157.00000	$$8.00000	
$$55.52000	$$0.11000	$$0.18137	$$188.00000	$$157.00000	$$8.00000	
$$51.90000	$$0.14000	$$0.17197	$$188.00000	$$155.00000	$$8.00000	
$$53.46000	$$0.21000	$$0.11644	$$188.00000	$$157.00000	$$8.00000	
$$46.82000	$$0.25000	$$0.10927	$$188.00000	$$155.00000	$$8.00000	
$$4.23000	$$0.32000	$$0.09539	$$188.00000	$$155.00000	$$8.00000	
$$-16.79000	$$0.31000	$$0.09180	$$188.00000	$$155.00000	$$8.00000	
$$-35.96000	$$0.28000	$$0.12629	$$188.00000	$$155.00000	$$8.00000	
$$-50.43000	$$0.19000	$$0.14510	$$188.00000	$$155.00000	$$8.00000	
$$-46.70000	$$0.13000	$$0.22078	$$188.00000	$$155.00000	$$8.00000	
$$-45.57000	$$0.07000	$$0.33229	$$188.00000	$$155.00000	$$8.00000	
$$17.47000	$$0.00000	$$0.42365	$$190.00000	$$157.00000	$$8.00000	
$$59.57000	$$0.12000	$$0.54142	$$190.00000	$$157.00000	$$8.00000	
$$57.04000	$$0.15000	$$0.63368	$$190.00000	$$157.00000	$$8.00000	
$$44.96000	$$0.29000	$$0.70130	$$190.00000	$$157.00000	$$8.00000	
$$37.38000	$$0.31000	$$0.74295	$$190.00000	$$157.00000	$$8.00000	
$$22.82000	$$0.33000	$$0.77922	$$190.00000	$$158.00000	$$8.00000	
$$-41.43000	$$0.24000	$$0.76713	$$190.00000	$$157.00000	$$8.00000	
$$-37.15000	$$0.21000	$$0.65025	$$190.00000	$$155.00000	$$8.00000	
$$-34.26000	$$0.14000	$$0.34304	$$190.00000	$$155.00000	$$8.00000	
$$-34.98000	$$0.12000	$$0.15361	$$190.00000	$$157.00000	$$8.00000	
$$-28.86000	$$0.10000	$$0.08867	$$190.00000	$$155.00000	$$8.00000	
$$43.53000	$$0.05000	$$0.02597	$$190.00000	$$155.00000	$$8.00000	
$$49.62000	$$0.08000	$$0.00000	$$190.00000	$$155.00000	$$8.00000	
$$54.48000	$$0.19000	$$0.02060	$$190.00000	$$157.00000	$$8.00000	
$$51.86000	$$0.22000	$$0.03538	$$190.00000	$$155.00000	$$8.00000	
$$25.34000	$$0.32000	$$0.05508	$$190.00000	$$155.00000	$$8.00000	
$$-1.51000	$$0.32000	$$0.10569	$$190.00000	$$157.00000	$$8.00000	
$$-23.71000	$$0.31000	$$0.40708	$$190.00000	$$155.00000	$$8.00000	
$$-45.59000	$$0.22000	$$0.53292	$$190.00000	$$157.00000	$$8.00000	
$$-45.44000	$$0.19000	$$0.74339	$$190.00000	$$157.00000	$$8.00000	
$$-44.46000	$$0.16000	$$0.92521	$$190.00000	$$155.00000	$$8.00000	
$$-26.02000	$$0.06000	$$0.91894	$$190.00000	$$157.00000	$$8.00000	
$$3.53000	$$0.00000	$$0.92521	$$190.00000	$$157.00000	$$8.00000	
$$65.24000	$$0.16000	$$0.92611	$$190.00000	$$157.00000	$$8.00000	
$$65.79000	$$0.20000	$$0.90327	$$190.00000	$$157.00000	$$8.00000	
$$63.14000	$$0.24000	$$0.86968	$$190.00000	$$155.00000	$$8.00000	
$$61.46000	$$0.28000	$$0.48410	$$190.00000	$$155.00000	$$8.00000	
$$51.25000	$$0.36000	$$0.26914	$$190.00000	$$155.00000	$$8.00000	
