++flow      	++volume    	++average   	++position_x	++position_y	++radius    	
$$-27.12000	$$0.04000	$$0.54490	$$181.00000	$$143.00000	$$8.00000	
$$-38.19000	$$0.02000	$$0.58475	$$181.00000	$$142.00000	$$8.00000	
$$-45.68000	$$-0.01000	$$0.58331	$$181.00000	$$142.00000	$$8.00000	
$$-58.91000	$$-0.05000	$$0.60814	$$181.00000	$$142.00000	$$8.00000	
$$-68.62000	$$-0.10000	$$0.60266	$$181.00000	$$142.00000	$$8.00000	
$$-81.42000	$$-0.20000	$$0.60988	$$182.00000	$$142.00000	$$8.00000	
$$-84.03000	$$-0.26000	$$0.64713	$$182.00000	$$143.00000	$$8.00000	
$$-89.75000	$$-0.32000	$$0.66503	$$182.00000	$$142.00000	$$8.00000	
$$-96.18000	$$-0.38000	$$0.72076	$$184.00000	$$142.00000	$$8.00000	
$$-104.43000	$$-0.45000	$$0.73462	$$182.00000	$$142.00000	$$8.00000	
$$-109.85000	$$-0.53000	$$0.79873	$$184.00000	$$143.00000	$$8.00000	
$$-115.64000	$$-0.68000	$$0.79526	$$184.00000	$$143.00000	$$8.00000	
$$-114.16000	$$-0.76000	$$0.78314	$$182.00000	$$143.00000	$$6.00000	
$$-116.16000	$$-0.83000	$$0.81894	$$184.00000	$$143.00000	$$8.00000	
$$-115.80000	$$-0.91000	$$0.81981	$$184.00000	$$142.00000	$$8.00000	
$$-118.68000	$$-1.07000	$$0.82443	$$184.00000	$$142.00000	$$8.00000	
$$-118.04000	$$-1.15000	$$0.82385	$$184.00000	$$143.00000	$$8.00000	
$$-117.34000	$$-1.22000	$$0.74791	$$184.00000	$$143.00000	$$8.00000	
$$-112.72000	$$-1.30000	$$0.45741	$$184.00000	$$142.00000	$$8.00000	
$$-105.46000	$$-1.37000	$$0.16113	$$182.00000	$$142.00000	$$8.00000	
$$-96.55000	$$-1.43000	$$0.08692	$$182.00000	$$142.00000	$$8.00000	
$$-93.37000	$$-1.50000	$$0.09645	$$182.00000	$$142.00000	$$8.00000	
$$-97.12000	$$-1.62000	$$0.11608	$$182.00000	$$142.00000	$$8.00000	
$$-102.46000	$$-1.69000	$$0.13976	$$182.00000	$$142.00000	$$8.00000	
$$-101.01000	$$-1.76000	$$0.16315	$$182.00000	$$142.00000	$$8.00000	
$$-97.62000	$$-1.83000	$$0.16200	$$181.00000	$$142.00000	$$8.00000	
$$-94.33000	$$-1.89000	$$0.12966	$$181.00000	$$142.00000	$$6.00000	
$$-85.60000	$$-1.95000	$$0.17788	$$181.00000	$$142.00000	$$8.00000	
$$-64.23000	$$-2.04000	$$0.17384	$$182.00000	$$143.00000	$$6.00000	
$$-54.81000	$$-2.08000	$$0.18423	$$181.00000	$$142.00000	$$8.00000	
$$-47.76000	$$-2.11000	$$0.21398	$$182.00000	$$142.00000	$$8.00000	
$$-36.84000	$$-2.13000	$$0.21051	$$182.00000	$$142.00000	$$8.00000	
$$-21.45000	$$-2.15000	$$0.21167	$$182.00000	$$142.00000	$$8.00000	
$$25.87000	$$0.00000	$$0.21831	$$182.00000	$$142.00000	$$8.00000	
$$84.79000	$$0.10000	$$0.21773	$$182.00000	$$142.00000	$$8.00000	
$$113.64000	$$0.17000	$$0.23650	$$182.00000	$$142.00000	$$8.00000	
$$127.09000	$$0.26000	$$0.25209	$$182.00000	$$142.00000	$$8.00000	
$$152.11000	$$0.36000	$$0.28097	$$182.00000	$$142.00000	$$8.00000	
$$152.13000	$$0.46000	$$0.31042	$$182.00000	$$142.00000	$$8.00000	
$$149.66000	$$0.56000	$$0.33872	$$182.00000	$$142.00000	$$8.00000	
$$139.05000	$$0.75000	$$0.37020	$$182.00000	$$142.00000	$$8.00000	
$$139.68000	$$0.84000	$$0.46116	$$182.00000	$$142.00000	$$8.00000	
$$136.34000	$$0.93000	$$0.47618	$$182.00000	$$142.00000	$$8.00000	
$$133.72000	$$1.02000	$$0.49552	$$182.00000	$$142.00000	$$6.00000	
$$136.39000	$$1.20000	$$0.62720	$$184.00000	$$142.00000	$$8.00000	
$$135.18000	$$1.29000	$$0.70315	$$184.00000	$$142.00000	$$8.00000	
$$134.97000	$$1.38000	$$0.75888	$$184.00000	$$142.00000	$$8.00000	
$$137.06000	$$1.56000	$$0.83396	$$185.00000	$$142.00000	$$8.00000	
$$134.32000	$$1.65000	$$0.84724	$$185.00000	$$142.00000	$$8.00000	
$$129.16000	$$1.74000	$$0.86515	$$176.00000	$$140.00000	$$6.00000	
$$122.48000	$$1.82000	$$0.85129	$$185.00000	$$142.00000	$$8.00000	
$$113.71000	$$1.90000	$$0.81201	$$185.00000	$$143.00000	$$8.00000	
$$105.98000	$$1.97000	$$0.80104	$$185.00000	$$142.00000	$$8.00000	
$$81.85000	$$2.09000	$$0.76783	$$185.00000	$$142.00000	$$8.00000	
$$68.38000	$$2.13000	$$0.73520	$$185.00000	$$142.00000	$$8.00000	
$$51.33000	$$2.17000	$$0.63933	$$185.00000	$$142.00000	$$8.00000	
$$-12.16000	$$2.18000	$$0.36529	$$185.00000	$$142.00000	$$8.00000	
$$-35.70000	$$2.15000	$$0.22813	$$185.00000	$$142.00000	$$8.00000	
$$-49.19000	$$2.12000	$$0.17904	$$185.00000	$$142.00000	$$8.00000	
$$-58.86000	$$2.08000	$$0.18423	$$185.00000	$$142.00000	$$8.00000	
$$-68.33000	$$2.04000	$$0.18914	$$185.00000	$$142.00000	$$8.00000	
$$-78.93000	$$1.98000	$$0.20676	$$185.00000	$$142.00000	$$8.00000	
$$-91.13000	$$1.92000	$$0.21109	$$185.00000	$$142.00000	$$8.00000	
$$-93.38000	$$1.86000	$$0.21802	$$185.00000	$$142.00000	$$8.00000	
$$-93.12000	$$1.80000	$$0.23361	$$185.00000	$$142.00000	$$8.00000	
$$-92.34000	$$1.68000	$$0.25787	$$185.00000	$$142.00000	$$8.00000	
$$-93.06000	$$1.61000	$$0.23246	$$184.00000	$$140.00000	$$8.00000	
$$-90.31000	$$1.55000	$$0.26307	$$185.00000	$$142.00000	$$8.00000	
$$-88.32000	$$1.50000	$$0.26653	$$185.00000	$$142.00000	$$8.00000	
$$-84.31000	$$1.44000	$$0.27115	$$185.00000	$$142.00000	$$8.00000	
$$-77.67000	$$1.39000	$$0.27202	$$185.00000	$$142.00000	$$8.00000	
$$-62.41000	$$1.30000	$$0.25902	$$184.00000	$$140.00000	$$8.00000	
$$-57.73000	$$1.26000	$$0.27924	$$184.00000	$$140.00000	$$8.00000	
$$-52.93000	$$1.23000	$$0.29974	$$184.00000	$$142.00000	$$8.00000	
$$-45.67000	$$1.20000	$$0.34392	$$184.00000	$$140.00000	$$8.00000	
$$-28.80000	$$1.18000	$$0.44383	$$185.00000	$$142.00000	$$8.00000	
$$19.82000	$$0.00000	$$0.57522	$$185.00000	$$142.00000	$$8.00000	
$$34.87000	$$0.02000	$$0.67081	$$185.00000	$$142.00000	$$8.00000	
$$46.56000	$$0.05000	$$0.73405	$$185.00000	$$142.00000	$$8.00000	
$$67.62000	$$0.10000	$$0.82356	$$187.00000	$$142.00000	$$8.00000	
$$72.45000	$$0.15000	$$0.84811	$$187.00000	$$142.00000	$$8.00000	
$$82.02000	$$0.20000	$$0.87958	$$187.00000	$$142.00000	$$8.00000	
$$94.46000	$$0.27000	$$0.84897	$$178.00000	$$140.00000	$$6.00000	
$$123.88000	$$0.42000	$$0.81346	$$187.00000	$$142.00000	$$8.00000	
$$134.72000	$$0.51000	$$0.76928	$$187.00000	$$142.00000	$$8.00000	
$$143.16000	$$0.60000	$$0.71152	$$187.00000	$$142.00000	$$8.00000	
$$144.77000	$$0.70000	$$0.58966	$$187.00000	$$142.00000	$$8.00000	
$$143.45000	$$0.80000	$$0.21946	$$187.00000	$$142.00000	$$8.00000	
$$145.65000	$$0.89000	$$0.15882	$$185.00000	$$142.00000	$$8.00000	
$$134.52000	$$1.08000	$$0.16315	$$185.00000	$$142.00000	$$8.00000	
$$130.33000	$$1.16000	$$0.17239	$$185.00000	$$142.00000	$$8.00000	
$$125.74000	$$1.25000	$$0.19405	$$185.00000	$$142.00000	$$8.00000	
$$113.59000	$$1.32000	$$0.21167	$$185.00000	$$142.00000	$$8.00000	
$$102.57000	$$1.39000	$$0.22524	$$185.00000	$$142.00000	$$8.00000	
$$78.63000	$$1.50000	$$0.23101	$$185.00000	$$142.00000	$$8.00000	
$$61.88000	$$1.55000	$$0.23881	$$185.00000	$$142.00000	$$8.00000	
