++flow      	++volume    	++average   	++position_x	++position_y	++radius    	
$$-6.46000	$$-0.27000	$$0.64289	$$193.00000	$$172.00000	$$8.00000	
$$-7.01000	$$-0.28000	$$0.71802	$$193.00000	$$172.00000	$$8.00000	
$$-14.30000	$$-0.29000	$$0.73894	$$193.00000	$$172.00000	$$8.00000	
$$-17.30000	$$-0.31000	$$0.72230	$$193.00000	$$172.00000	$$8.00000	
$$-20.62000	$$-0.32000	$$0.70661	$$193.00000	$$172.00000	$$8.00000	
$$-25.02000	$$-0.34000	$$0.71279	$$193.00000	$$172.00000	$$8.00000	
$$-31.61000	$$-0.36000	$$0.68331	$$193.00000	$$172.00000	$$8.00000	
$$-45.16000	$$-0.41000	$$0.96243	$$191.00000	$$172.00000	$$8.00000	
$$-47.06000	$$-0.45000	$$0.96529	$$191.00000	$$172.00000	$$8.00000	
$$-45.17000	$$-0.48000	$$0.96148	$$191.00000	$$172.00000	$$8.00000	
$$-43.13000	$$-0.50000	$$0.95150	$$191.00000	$$172.00000	$$8.00000	
$$-40.07000	$$-0.53000	$$0.94199	$$191.00000	$$172.00000	$$8.00000	
$$-38.91000	$$-0.56000	$$1.00000	$$191.00000	$$172.00000	$$8.00000	
$$-30.56000	$$-0.60000	$$0.98478	$$191.00000	$$172.00000	$$8.00000	
$$-30.18000	$$-0.62000	$$0.91203	$$191.00000	$$173.00000	$$8.00000	
$$-27.05000	$$-0.64000	$$0.91869	$$193.00000	$$172.00000	$$6.00000	
$$-23.66000	$$-0.65000	$$0.91346	$$193.00000	$$172.00000	$$6.00000	
$$-20.85000	$$-0.67000	$$0.88683	$$191.00000	$$173.00000	$$8.00000	
$$-21.76000	$$-0.68000	$$0.88398	$$193.00000	$$172.00000	$$6.00000	
$$-9.60000	$$-0.70000	$$0.83119	$$191.00000	$$173.00000	$$8.00000	
$$21.54000	$$0.00000	$$0.78840	$$191.00000	$$173.00000	$$8.00000	
$$40.93000	$$0.03000	$$0.71136	$$191.00000	$$173.00000	$$8.00000	
$$44.37000	$$0.06000	$$0.55873	$$191.00000	$$173.00000	$$8.00000	
$$43.03000	$$0.09000	$$0.50594	$$191.00000	$$173.00000	$$8.00000	
$$46.48000	$$0.15000	$$0.47932	$$191.00000	$$173.00000	$$8.00000	
$$49.02000	$$0.18000	$$0.35616	$$193.00000	$$172.00000	$$6.00000	
$$47.11000	$$0.21000	$$0.32525	$$193.00000	$$172.00000	$$6.00000	
$$46.47000	$$0.24000	$$0.31289	$$193.00000	$$172.00000	$$6.00000	
$$42.26000	$$0.30000	$$0.41512	$$191.00000	$$172.00000	$$8.00000	
$$39.21000	$$0.32000	$$0.41179	$$191.00000	$$172.00000	$$8.00000	
$$38.38000	$$0.35000	$$0.39610	$$191.00000	$$172.00000	$$8.00000	
$$38.44000	$$0.40000	$$0.39705	$$191.00000	$$172.00000	$$8.00000	
$$38.07000	$$0.43000	$$0.38659	$$191.00000	$$172.00000	$$8.00000	
$$38.47000	$$0.48000	$$0.35806	$$191.00000	$$172.00000	$$8.00000	
$$39.62000	$$0.50000	$$0.33143	$$191.00000	$$172.00000	$$8.00000	
$$39.21000	$$0.53000	$$0.32620	$$191.00000	$$172.00000	$$8.00000	
$$36.32000	$$0.55000	$$0.30243	$$191.00000	$$172.00000	$$8.00000	
