++flow      	++volume    	++average   	++position_x	++position_y	++radius    	
$$0.00000	$$0.00000	$$0.82739	$$181.00000	$$140.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.85067	$$181.00000	$$140.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.85067	$$181.00000	$$140.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.86133	$$181.00000	$$140.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.93261	$$182.00000	$$140.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.94303	$$182.00000	$$140.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.94933	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.96970	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.98036	$$182.00000	$$140.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.97018	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.97673	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.97770	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.98424	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.98909	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$1.00000	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.99055	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.95733	$$182.00000	$$142.00000	$$8.00000	
$$0.00000	$$0.00000	$$0.94958	$$182.00000	$$142.00000	$$8.00000	
$$-1.43000	$$-0.00000	$$0.91830	$$182.00000	$$142.00000	$$8.00000	
$$-5.19000	$$-0.00000	$$0.90376	$$182.00000	$$142.00000	$$8.00000	
$$-9.43000	$$-0.01000	$$0.83782	$$182.00000	$$142.00000	$$8.00000	
$$-32.36000	$$-0.04000	$$0.46279	$$181.00000	$$142.00000	$$6.00000	
$$-45.84000	$$-0.07000	$$0.30594	$$181.00000	$$142.00000	$$6.00000	
$$-57.42000	$$-0.11000	$$0.25285	$$182.00000	$$142.00000	$$8.00000	
$$-69.52000	$$-0.16000	$$0.17939	$$182.00000	$$142.00000	$$8.00000	
$$-81.04000	$$-0.21000	$$0.14788	$$182.00000	$$142.00000	$$8.00000	
$$-98.73000	$$-0.34000	$$0.12436	$$182.00000	$$142.00000	$$8.00000	
$$-101.46000	$$-0.41000	$$0.09333	$$182.00000	$$142.00000	$$8.00000	
$$-101.77000	$$-0.48000	$$0.09091	$$182.00000	$$142.00000	$$8.00000	
$$-102.06000	$$-0.55000	$$0.05018	$$181.00000	$$140.00000	$$8.00000	
$$-105.11000	$$-0.62000	$$0.06012	$$181.00000	$$140.00000	$$8.00000	
$$-107.00000	$$-0.69000	$$0.07830	$$181.00000	$$140.00000	$$8.00000	
$$-110.16000	$$-0.83000	$$0.10885	$$181.00000	$$140.00000	$$8.00000	
$$-110.70000	$$-0.91000	$$0.12412	$$181.00000	$$140.00000	$$8.00000	
$$-117.07000	$$-0.98000	$$0.10255	$$179.00000	$$139.00000	$$8.00000	
$$-123.02000	$$-1.07000	$$0.10352	$$179.00000	$$139.00000	$$8.00000	
$$-123.78000	$$-1.15000	$$0.10133	$$179.00000	$$139.00000	$$8.00000	
$$-121.56000	$$-1.23000	$$0.09479	$$179.00000	$$139.00000	$$8.00000	
$$-121.16000	$$-1.39000	$$0.10061	$$179.00000	$$139.00000	$$8.00000	
$$-120.17000	$$-1.47000	$$0.10642	$$179.00000	$$139.00000	$$8.00000	
$$-118.25000	$$-1.55000	$$0.10788	$$179.00000	$$139.00000	$$8.00000	
$$-113.79000	$$-1.63000	$$0.10570	$$179.00000	$$139.00000	$$8.00000	
$$-112.32000	$$-1.70000	$$0.10521	$$179.00000	$$139.00000	$$8.00000	
$$-111.77000	$$-1.78000	$$0.10739	$$179.00000	$$139.00000	$$8.00000	
$$-105.82000	$$-1.92000	$$0.11127	$$179.00000	$$139.00000	$$8.00000	
$$-98.78000	$$-1.99000	$$0.11200	$$179.00000	$$139.00000	$$8.00000	
$$-94.67000	$$-2.05000	$$0.11297	$$179.00000	$$139.00000	$$8.00000	
$$-89.08000	$$-2.11000	$$0.11491	$$179.00000	$$139.00000	$$8.00000	
$$-80.70000	$$-2.22000	$$0.11394	$$179.00000	$$139.00000	$$8.00000	
$$-74.91000	$$-2.27000	$$0.11515	$$179.00000	$$139.00000	$$8.00000	
$$-64.31000	$$-2.31000	$$0.12848	$$179.00000	$$139.00000	$$8.00000	
$$-45.91000	$$-2.34000	$$0.13794	$$179.00000	$$139.00000	$$8.00000	
$$-23.20000	$$-2.36000	$$0.15200	$$179.00000	$$139.00000	$$8.00000	
$$28.42000	$$0.02000	$$0.15952	$$179.00000	$$139.00000	$$8.00000	
$$38.54000	$$0.04000	$$0.17212	$$179.00000	$$139.00000	$$8.00000	
$$61.00000	$$0.09000	$$0.23855	$$179.00000	$$139.00000	$$8.00000	
$$69.36000	$$0.13000	$$0.28412	$$179.00000	$$139.00000	$$8.00000	
$$82.23000	$$0.19000	$$0.31612	$$179.00000	$$139.00000	$$8.00000	
$$91.88000	$$0.25000	$$0.40364	$$179.00000	$$139.00000	$$8.00000	
$$118.47000	$$0.39000	$$0.45188	$$179.00000	$$139.00000	$$8.00000	
$$123.83000	$$0.47000	$$0.47758	$$179.00000	$$139.00000	$$8.00000	
$$127.79000	$$0.56000	$$0.54885	$$179.00000	$$139.00000	$$8.00000	
$$129.59000	$$0.65000	$$0.58764	$$179.00000	$$139.00000	$$8.00000	
$$126.75000	$$0.73000	$$0.61988	$$179.00000	$$139.00000	$$8.00000	
$$128.56000	$$0.82000	$$0.68509	$$181.00000	$$140.00000	$$8.00000	
$$129.61000	$$0.99000	$$0.70933	$$181.00000	$$140.00000	$$8.00000	
$$130.42000	$$1.08000	$$0.72267	$$181.00000	$$140.00000	$$8.00000	
$$129.47000	$$1.16000	$$0.76752	$$181.00000	$$140.00000	$$8.00000	
$$128.48000	$$1.25000	$$0.78085	$$181.00000	$$140.00000	$$8.00000	
$$122.61000	$$1.41000	$$0.78061	$$181.00000	$$140.00000	$$8.00000	
$$118.90000	$$1.49000	$$0.80873	$$182.00000	$$140.00000	$$8.00000	
$$116.81000	$$1.57000	$$0.81333	$$182.00000	$$140.00000	$$8.00000	
$$113.87000	$$1.65000	$$0.83030	$$182.00000	$$142.00000	$$8.00000	
$$113.12000	$$1.72000	$$0.83588	$$182.00000	$$142.00000	$$8.00000	
$$109.77000	$$1.87000	$$0.87006	$$182.00000	$$142.00000	$$8.00000	
$$108.24000	$$1.94000	$$0.89333	$$182.00000	$$140.00000	$$8.00000	
$$104.60000	$$2.01000	$$0.92000	$$182.00000	$$142.00000	$$8.00000	
$$102.66000	$$2.08000	$$0.94788	$$182.00000	$$142.00000	$$8.00000	
$$101.50000	$$2.15000	$$0.94812	$$181.00000	$$142.00000	$$8.00000	
$$100.06000	$$2.22000	$$0.98255	$$182.00000	$$142.00000	$$8.00000	
$$104.05000	$$2.35000	$$0.97964	$$182.00000	$$142.00000	$$8.00000	
$$98.26000	$$2.42000	$$0.89915	$$181.00000	$$140.00000	$$8.00000	
$$97.65000	$$2.49000	$$0.90642	$$182.00000	$$142.00000	$$8.00000	
$$89.92000	$$2.61000	$$0.87564	$$182.00000	$$140.00000	$$8.00000	
$$82.41000	$$2.66000	$$0.84097	$$181.00000	$$140.00000	$$8.00000	
$$77.88000	$$2.72000	$$0.85115	$$182.00000	$$142.00000	$$8.00000	
$$69.34000	$$2.76000	$$0.83079	$$182.00000	$$142.00000	$$8.00000	
$$53.62000	$$2.84000	$$0.82133	$$182.00000	$$142.00000	$$8.00000	
$$37.65000	$$2.86000	$$0.79321	$$182.00000	$$142.00000	$$8.00000	
$$7.49000	$$2.88000	$$0.38545	$$182.00000	$$142.00000	$$8.00000	
$$-16.22000	$$2.87000	$$0.21382	$$182.00000	$$142.00000	$$8.00000	
$$-39.56000	$$2.83000	$$0.07030	$$181.00000	$$140.00000	$$8.00000	
$$-50.12000	$$2.80000	$$0.06182	$$182.00000	$$142.00000	$$8.00000	
$$-69.45000	$$2.71000	$$0.01673	$$181.00000	$$140.00000	$$8.00000	
$$-74.93000	$$2.66000	$$0.02352	$$181.00000	$$140.00000	$$8.00000	
$$-87.18000	$$2.54000	$$0.04970	$$181.00000	$$140.00000	$$8.00000	
$$-86.91000	$$2.49000	$$0.06182	$$181.00000	$$140.00000	$$8.00000	
$$-87.69000	$$2.43000	$$0.04970	$$179.00000	$$140.00000	$$8.00000	
$$-86.85000	$$2.37000	$$0.07442	$$179.00000	$$140.00000	$$8.00000	
$$-86.07000	$$2.31000	$$0.03539	$$179.00000	$$140.00000	$$6.00000	
$$-88.06000	$$2.25000	$$0.12558	$$181.00000	$$140.00000	$$8.00000	
$$-89.92000	$$2.19000	$$0.08073	$$179.00000	$$140.00000	$$6.00000	
$$-94.10000	$$2.07000	$$0.08630	$$179.00000	$$140.00000	$$6.00000	
$$-97.15000	$$2.01000	$$0.12315	$$179.00000	$$139.00000	$$8.00000	
$$-96.58000	$$1.94000	$$0.12509	$$179.00000	$$139.00000	$$8.00000	
$$-95.08000	$$1.81000	$$0.13455	$$179.00000	$$139.00000	$$8.00000	
$$-96.37000	$$1.75000	$$0.13067	$$179.00000	$$139.00000	$$8.00000	
$$-97.30000	$$1.68000	$$0.12485	$$179.00000	$$140.00000	$$8.00000	
$$-97.32000	$$1.62000	$$0.13382	$$179.00000	$$140.00000	$$8.00000	
$$-97.55000	$$1.55000	$$0.13333	$$179.00000	$$140.00000	$$8.00000	
$$-97.18000	$$1.49000	$$0.13552	$$179.00000	$$140.00000	$$8.00000	
$$-96.23000	$$1.36000	$$0.14061	$$179.00000	$$140.00000	$$8.00000	
