++average   	++position_x	++position_y	++radius    	++flow      	
$$0.22354	$$194.00000	$$169.00000	$$6.00000	$$-6.77000	
$$0.22354	$$193.00000	$$170.00000	$$8.00000	$$-6.87000	
$$0.22354	$$193.00000	$$170.00000	$$8.00000	$$-7.06000	
$$0.22354	$$193.00000	$$170.00000	$$8.00000	$$-6.75000	
$$0.24649	$$193.00000	$$170.00000	$$8.00000	$$-6.66000	
$$0.23829	$$191.00000	$$172.00000	$$8.00000	$$-6.49000	
$$0.22718	$$191.00000	$$172.00000	$$8.00000	$$-6.05000	
$$0.23538	$$190.00000	$$172.00000	$$8.00000	$$-6.11000	
$$0.24576	$$190.00000	$$172.00000	$$8.00000	$$-5.61000	
$$0.23046	$$190.00000	$$172.00000	$$8.00000	$$-4.35000	
$$0.24312	$$190.00000	$$172.00000	$$8.00000	$$-5.80000	
$$0.23283	$$190.00000	$$172.00000	$$8.00000	$$-6.12000	
$$0.24176	$$190.00000	$$172.00000	$$8.00000	$$0.00000	
$$0.24422	$$191.00000	$$172.00000	$$6.00000	$$4.13000	
$$0.25660	$$191.00000	$$170.00000	$$6.00000	$$5.16000	
$$0.25943	$$190.00000	$$172.00000	$$8.00000	$$6.12000	
$$0.26007	$$190.00000	$$172.00000	$$8.00000	$$6.32000	
$$0.32255	$$190.00000	$$172.00000	$$8.00000	$$8.03000	
$$0.28430	$$190.00000	$$172.00000	$$8.00000	$$11.37000	
$$0.29149	$$190.00000	$$172.00000	$$8.00000	$$11.84000	
$$0.28302	$$188.00000	$$172.00000	$$8.00000	$$12.57000	
$$0.27182	$$188.00000	$$172.00000	$$8.00000	$$6.17000	
$$0.26508	$$188.00000	$$172.00000	$$8.00000	$$9.54000	
$$0.29277	$$188.00000	$$172.00000	$$8.00000	$$13.29000	
$$0.28029	$$188.00000	$$172.00000	$$8.00000	$$12.69000	
$$0.28912	$$188.00000	$$172.00000	$$8.00000	$$13.54000	
$$0.29468	$$188.00000	$$172.00000	$$8.00000	$$15.31000	
$$0.30743	$$188.00000	$$172.00000	$$8.00000	$$14.52000	
$$0.32237	$$188.00000	$$172.00000	$$8.00000	$$16.88000	
$$0.31900	$$188.00000	$$172.00000	$$8.00000	$$18.46000	
$$0.32848	$$188.00000	$$172.00000	$$8.00000	$$14.77000	
