++average   	++position_x	++position_y	++radius    	++flow      	
$$0.12657	$$188.00000	$$155.00000	$$8.00000	$$0.00000	
$$0.12952	$$188.00000	$$155.00000	$$8.00000	$$-2.03000	
$$0.13183	$$188.00000	$$155.00000	$$8.00000	$$-2.35000	
$$0.12971	$$188.00000	$$155.00000	$$8.00000	$$-4.66000	
$$0.13087	$$188.00000	$$155.00000	$$8.00000	$$-6.04000	
$$0.13087	$$188.00000	$$155.00000	$$8.00000	$$-6.53000	
$$0.12644	$$188.00000	$$155.00000	$$8.00000	$$-6.89000	
$$0.12477	$$188.00000	$$155.00000	$$8.00000	$$-6.81000	
$$0.12355	$$188.00000	$$155.00000	$$8.00000	$$-7.27000	
$$0.12291	$$188.00000	$$155.00000	$$8.00000	$$-7.48000	
$$0.12567	$$188.00000	$$155.00000	$$8.00000	$$-7.56000	
$$0.12753	$$188.00000	$$155.00000	$$8.00000	$$-7.09000	
$$0.12984	$$188.00000	$$155.00000	$$8.00000	$$-6.86000	
$$0.13607	$$188.00000	$$155.00000	$$8.00000	$$-6.81000	
$$0.14480	$$188.00000	$$155.00000	$$8.00000	$$-7.32000	
$$0.15296	$$188.00000	$$155.00000	$$8.00000	$$-6.87000	
$$0.17055	$$188.00000	$$155.00000	$$8.00000	$$-7.50000	
$$0.17684	$$188.00000	$$155.00000	$$8.00000	$$-7.54000	
$$0.18320	$$188.00000	$$155.00000	$$8.00000	$$-28.93000	
$$0.18725	$$188.00000	$$155.00000	$$8.00000	$$-29.83000	
$$0.19482	$$188.00000	$$155.00000	$$8.00000	$$-33.86000	
$$0.20696	$$188.00000	$$155.00000	$$8.00000	$$-36.02000	
$$0.21634	$$188.00000	$$155.00000	$$8.00000	$$-43.41000	
$$0.19983	$$190.00000	$$155.00000	$$8.00000	$$-43.65000	
$$0.21280	$$190.00000	$$155.00000	$$8.00000	$$-41.74000	
$$0.21422	$$190.00000	$$155.00000	$$8.00000	$$-37.21000	
$$0.21884	$$190.00000	$$155.00000	$$8.00000	$$-34.86000	
$$0.22963	$$190.00000	$$155.00000	$$8.00000	$$-35.18000	
$$0.23624	$$190.00000	$$155.00000	$$8.00000	$$-35.35000	
$$0.23669	$$190.00000	$$157.00000	$$8.00000	$$-35.27000	
$$0.23573	$$190.00000	$$157.00000	$$8.00000	$$-35.04000	
$$0.23348	$$190.00000	$$157.00000	$$8.00000	$$-35.69000	
$$0.23477	$$190.00000	$$157.00000	$$8.00000	$$-32.72000	
$$0.24716	$$190.00000	$$157.00000	$$8.00000	$$-32.13000	
$$0.24677	$$190.00000	$$157.00000	$$8.00000	$$-28.07000	
$$0.24690	$$190.00000	$$157.00000	$$8.00000	$$-28.07000	
$$0.24748	$$190.00000	$$157.00000	$$8.00000	$$-23.92000	
